N,Name,Query,Solutions-H,Solutions-HD,Solutions-HR
1,firstJust,a -> [Maybe a] -> a,"Data.Maybe.fromMaybe arg0 (GHC.List.head arg1)
Data.Maybe.fromMaybe arg0 (GHC.List.last arg1)","Data.Either.fromRight arg0 (Data.Either.Left arg1)
Data.Maybe.fromMaybe arg0 (GHC.List.head arg1)
Data.Maybe.fromMaybe arg0 (GHC.List.last arg1)",
2,both,"(a -> b) -> (a, a) -> (b, b)","(,) (arg0 (fst arg2)) (arg0 (snd arg2))
Data.Tuple.swap ((,) (arg0 (fst arg2)) (arg0 (snd arg2)))","(,) (arg0 (fst arg2)) (arg0 (snd arg2))
(,) (arg0 (Data.Tuple.snd arg2)) (arg0 (Data.Tuple.snd arg2))
(,) (arg0 (Data.Tuple.fst arg2)) (arg0 (Data.Tuple.fst arg2))
Data.Tuple.swap ((,) (arg0 (fst arg2)) (arg0 (snd arg2)))",
3,rights,[Either a b] -> Either a [b],"Data.Either.Right (Data.Either.rights arg0)
Data.Either.Right (Data.Either.rights (GHC.List.init arg0))
Data.Either.Right (Data.Either.rights (GHC.List.tail arg0))","Data.Either.Right (Data.Either.rights arg0)
Data.Either.Right (Data.Either.rights (GHC.List.init arg0))
Data.Either.Right (Data.Either.rights (GHC.List.tail arg0))","Data.Either.Right (Data.Either.rights arg0)
Data.Either.Right []"
4,app3,(a -> b -> c -> d) -> a -> c -> b -> d,arg0 arg4 arg6 arg5,arg0 arg4 arg6 arg5,arg0 arg4 arg6 arg5
5,multiApp,(a -> b -> c) -> (a -> b) -> a -> c,arg0 arg5 (arg3 arg5),arg0 arg5 (arg3 arg5),arg0 arg5 (arg3 arg5)
6,resolveEither,Either a b -> (a->b) -> b,"Data.Either.either arg1 Data.Function.id arg0
Data.Either.fromRight (arg1 (Data.Maybe.fromJust Data.Maybe.Nothing)) arg0","Data.Either.either arg1 Data.Function.id arg0
Data.Either.either arg1 (GHC.List.head []) arg0
Data.Either.fromRight (arg1 (Data.Maybe.fromJust Data.Maybe.Nothing)) arg0",Data.Either.either arg1 Data.Function.id arg0
7,splitStr,String -> Char -> [String],"GHC.List.repeat (Text.Show.showChar arg1 arg0)
GHC.List.repeat (GHC.List.replicate (GHC.List.length arg0) arg1)
(:) (GHC.List.repeat arg1) (GHC.List.repeat arg0)","GHC.List.repeat (Text.Show.showChar arg1 arg0)
GHC.List.repeat (GHC.List.replicate (GHC.List.length arg0) arg1)
(:) (GHC.List.repeat arg1) (GHC.List.repeat arg0)","GHC.List.repeat arg0
[]"
8,indexesOf,"([(a,Int)] -> [(a,Int)]) -> [a] -> [Int] -> [Int]",,,Data.Either.lefts []
9,applyPair,"(a -> b, a) -> b",Data.Tuple.uncurry Data.Function.id arg0,"Data.Tuple.uncurry Data.Function.id arg0
Data.Tuple.uncurry (GHC.List.head []) arg0","Data.Tuple.uncurry Data.Function.id arg0
Data.Maybe.fromJust Data.Maybe.Nothing
GHC.List.head []
GHC.List.last []"
10,map,(a->b)->[a]->[b],"GHC.List.map arg0 arg2
GHC.List.repeat (arg0 (GHC.List.last arg2))
GHC.List.map arg0 (GHC.List.init arg2)
GHC.List.map arg0 (GHC.List.tail arg2)
GHC.List.repeat (arg0 (GHC.List.head arg2))","GHC.List.map arg0 arg2
GHC.List.repeat (arg0 (GHC.List.last arg2))
GHC.List.map arg0 (GHC.List.init arg2)
GHC.List.map arg0 (GHC.List.tail arg2)
GHC.List.repeat (arg0 (GHC.List.head arg2))","GHC.List.map arg0 arg2
Data.Either.lefts []"
